Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Shakib to Rahul, no run," shuffles against in his crease, moves across the stumps and works it towards the right of the bowler"
Shakib to Rohit, 1 run," straighter line, it kept low too, Rohit nurdles it through mid-wicket"
Shakib to Rahul, 1 run," shuffles in his crease and works the short ball through mid-wicket, one more to the total"
Shakib to Rohit, 1 run," very slower through the air, short in length and it's been nudged towards mid-wicket"
Shakib to Rahul, 1 run," flighted delivery outside off, Rahul drives it through cover-point for a single"
Shakib to Rohit, 1 run," flatter outside off, Rohit knocks it through covers for a single"
Shakib Al Hasan [4.0-0-14-0] is back into the attack, 1 run," flatter outside off, Rohit knocks it through covers for a single"
Soumya Sarkar to Rahul, no run," short ball around leg, Rahul looks to hook this one into the leg side but gets beaten due to the bounce. Mushfiq was appealing for a caught behind but the bowler wasn't convinced. He did join in the appeal later but wasn't as excited. There was clear day light between bat and ball, hence they didn't waste the review"
Soumya Sarkar to Rahul, no run," another delivery that got stuck into the pitch, Rahul clips it towards mid-wicket but is annoyed with the fact that he couldn't find the gap"
Soumya Sarkar to Rohit, 1 run," and now he eases the length delivery to mid-on, dealing in singles in this over"
Soumya Sarkar to Rohit, no run," it'll take some time to get used to the pace at which Sarkar bowls, the ball wouldn't come on smoothly, back of a length around off, Rohit calmly knocks it to cover"
Soumya Sarkar to Rahul, 1 run," straighter line, length is the same, on the shorter side and Rahul punches it towards long-on for a single"
Soumya Sarkar to Rahul, no run," dibbly dobbly back of a length delivery around off, Rahul keeps his head steady and knocks it to cover"
Rubel to Rahul, 1 run, rises a touch in his crease and knocks the back of length delivery into the gap at covers
Rubel to Rahul, 2 runs," back of a length outside off, Rahul chops it to deep point and manages to take a brace, the fielder in the deep had to cover a lot of ground, hence the second was always on"
Rubel to Rahul, no run, a slower ball by Rubel and Rahul bunts it towards the fielder at mid-on
Rubel to Rahul, no run," sharp ball by Rubel, back of a length around off and bowled at 134kph, it sticks into the surface and rises, Rahul was on his back foot as he played this one off the splice towards point"
Rubel to Rohit, 1 run," width on offer this time around, fullish length delivery and Rohit drills it to sweeper cover for a single"
Rubel to Rohit, no run," tad fuller around off, Rohit drives it to the fielder at covers, 'no' was the call straight away"
Mustafizur to Rohit, 1 run," ends the over with a single and retains strike, this was a length delivery outside off and it was sliced down to third man"
Mustafizur to Rohit, 2 runs," 124kph, this short one kept a touch low around leg, Rohit paddles it down to fine leg and manages to sprint back for the second, not a great throw by Saifuddin who was also a little slow to collect the ball"
Mustafizur to Rohit, no run, pitched up by the Fizz and it's been guided straight back to him by Rohit
Mustafizur to Rahul, 1 run," 126kph, the slower delivery and Rahul is a touch early in his shot, tries to flick across the line and gets a leading edge that rolls down to third man"
Mustafizur to Rohit, 1 run," comes back to over the wicket and keeps this one on the pads, Rohit nudges it through square leg for a single"
Most sixes in ODI cricket351 Shahid Afridi326 C Gayle270 S Jayasuriya230 ROHIT SHARMA *228 MS Dhoni, 1 run," comes back to over the wicket and keeps this one on the pads, Rohit nudges it through square leg for a single"
Mustafizur to Rohit, SIX," that's the best shot of the match for me. Holds his shape, stays put and lofts the overpitched delivery right over the bowler's head. Fizz created a chance earlier but even he has no answers to the onslaught by Rohit this time around. Lovely!"
Mustafizur Rahman [4.0-0-23-0] is back into the attack, SIX," that's the best shot of the match for me. Holds his shape, stays put and lofts the overpitched delivery right over the bowler's head. Fizz created a chance earlier but even he has no answers to the onslaught by Rohit this time around. Lovely!"
Rubel to Rohit, 1 run," risky single taken, Rohit nudges this short ball in front of mid-wicket and calls for a run, he was running towards the danger end and although the fielder was quick to get rid of the ball, the throw wasn't accurate enough, run completed with ease eventually"
Rubel to Rahul, 1 run, slashes this one away from his body and gets an outside edge that rolls down to third man
Rubel to Rahul, no run," this one sticks into the surface, comes a lot slower than the batsman was anticipating, Rahul stays on his back foot and bunts it back to the bowler"
Rubel to Rohit, 1 run," back of a length outside off, Rohit transfers his weight on to the back foot and slices it to third man"
Rubel to Rohit, FOUR," massacre! Short of a length around off, Rohit stands tall and pulls it off his front foot, no fielder at long-on and that shall be a boundary for the opener. He's making sure to get at least one boundary every over"
Rubel to Rahul, 1 run," short of a length around middle and leg, Rahul tucks it into the leg side and hands over the strike to Rohit"
Mosaddek Hossain to Rohit, FOUR," Rohit is sparing no one today. Gave an early chance to Bangladesh but now he is making 'em pay for that dropped catch. Puts on his dancing shoes, converts this one into a full toss and bludgeons it over mid-wicket, there was a fielder in the deep but this was placed well past him. 13 runs off the over"
Mosaddek Hossain to Rohit, no run," gets yorked by this one as he shimmies down the wicket, jammed back to the bowler by Rohit"
Mosaddek Hossain to Rahul, 1 run, leans forward and drives the tossed up delivery to long-on for a single
Mosaddek Hossain to Rohit, 1 run, little shorter by Mosaddek Hossain and it's been knocked down to long-on by Rohit
Mosaddek Hossain to Rohit, SIX," that's a huge six, such a sweetly timed shot. A tossed up delivery by Mosaddek Hossain and Rohit tonks it over long-on with all his might. Six from the moment he connected it and everyone knew it, they could do nothing else but admire the shot"
Mosaddek Hossain to Rahul, 1 run," very slower through the air, Rahul makes room and puts it into the gap at covers with a gentle drive"
Most runs for India in a WC673 S Tendulkar (2003)523 S Tendulkar (1996)503 ROHIT SHARMA (2019)482 S Tendulkar (2011), 1 run," very slower through the air, Rahul makes room and puts it into the gap at covers with a gentle drive"
Rubel to Rahul, 1 run," in the channel outside off, a skiddy length delivery and Rahul pats it in front of point. Slight yes-no between the openers but they manage to take a comfortable single eventually"
Rubel to Rohit, 1 run," much slower by Rubel, bowls this one at 119kph and Rohit chops it towards the right of the keeper, takes a single as Rahul calls for it"
Rubel to Rohit, no run, pitched up by Rubel and Rohit drives it straight back to the bowler off his front foot
Rubel to Rohit, 2 runs," shortish delivery around off, climbs on the batsman and Rohit goes ahead with a pull shot, doesn't middle it though as the ball falls in no man's land at deep mid-wicket, it slows down near the fence and the batsmen settle for a couple of runs"
Rubel to Rohit, no run," seaming into the batsman outside the off-stump line, Rohit comes on his front foot and eases it to point"
Rubel to Rohit, no run," length delivery in the channel outside off, skids along the deck and beats Rohit's tentative poke, good pace and carry on that ball by Rubel"
Mosaddek Hossain to Rahul, no run," that was close, dropped short and at the batsman, looked like it stopped on KL, he was early into the back-foot punch and it very nearly carried back to the bowler"
Mosaddek Hossain to Rohit, 1 run," an ugly hoick from Rohit, was looking to clear mid-wicket, didn't get close to the ball and the inside edge rolled behind square on the on-side for a single"
Mosaddek Hossain to Rahul, 1 run," Rahul comes down the track, gets close to the ball and drives it past cover for a single"
Mosaddek Hossain to Rohit, 1 run," tad too short from Mosaddek, allows Rohit to punch it off the back-foot to long-on"
Mosaddek Hossain to Rahul, 1 run," tossed up on the leg-stump line, worked in front of square on the on-side for a single"
Mosaddek Hossain to Rohit, 1 run," flatter and drifting down leg, Rohit bends low and pulls it behind square on the on-side for a single"
Rubel to Rahul, FOUR," lovely, he's coming into his own zone - Rahul, fuller length delivery outside off, he leans into the drive, head on top of the ball and plays a delicious looking cover-drive, through the gap at extra-cover and there's no need to run for those"
Rubel to Rohit, 1 run," length ball at the pads, worked behind square on the on-side for a single"
Rubel to Rahul, 1 run," change of pace from Rubel, slower ball on Rahul's pads, worked in front of square on the on-side for a single"
Rubel to Rahul, no run," much better from Rubel, fraction fuller and shaping away late, drew Rahul into the drive and burst past his outside edge"
Rubel to Rahul, 2 runs," fifty for KL, his 2nd in #CWC19, length ball on the pads and he clipped it to the right of mid-wicket - the fielder dived over the ball and lets it go past him, back for the second run"
Rubel to Rahul, FOUR," beautifully played, Rubel starts with a gentle overpitched delivery, Rahul leans forward, plays with a closed face and plays the on-drive to perfection, back past his partner and runs away to the ropes"
Mosaddek Hossain to Rahul, 1 run," Rahul shimmies down the track, gets close to the ball and works it to long-on for a single"
Mosaddek Hossain to Rohit, 1 run," flighted delivery on the leg-stump line, clipped in front of square on the on-side for a single"
Mosaddek Hossain to Rahul, 1 run," that's risky, but KL was in full control over the shot, bent down low to a full ball and swept it past square leg for a single"
Mosaddek Hossain to Rohit, 1 run," flatter and at the stumps, punched back at the bowler who makes a half-stop"
India's opening partnerships in WC 201913 vs SA127 vs Aus136 vs Pak7 vs Afg29 vs WI8 vs Eng101* v Ban- Second team to have three 100+ opening stands in a WC after Australia in 2007 and 2019., 1 run," flatter and at the stumps, punched back at the bowler who makes a half-stop"
